('funeral', 'attack', 1)
('funeral', 'damaged', 1)
('funeral', 'attack', 1)
('funeral', 'killed', 1)
('funeral', 'attack', 1)
('attack', 'damaged', 1)
('attack', 'killed', 1)
('attack', 'damaged', 1)
('attack', 'killed', 1)
('blew', 'trapping', 1)
('blew', 'died', 1)
('suspended', 'canceled', 1)
('suspended', 'suspension', 1)
('chaos', 'canceled', 1)
('chaos', 'suspension', 1)
('chaos', 'suspended', 1)
('chaos', 'jams', 1)
('chaos', 'grounded', 1)
('chaos', 'grounded', 1)
('chaos', 'delays', 1)
('chaos', 'canceled', 1)
('gusts', 'blew', 1)
('gusts', 'toppled', 1)
('gusts', 'recorded', 1)
('gusts', 'trapping', 1)
('gusts', 'died', 1)
('storm', 'canceled', 1)
('storm', 'blew', 1)
('storm', 'suspension', 1)
('storm', 'suspended', 1)
('storm', 'chaos', 1)
('storm', 'toppled', 1)
('storm', 'gusts', 1)
('storm', 'recorded', 1)
('storm', 'jams', 1)
('storm', 'grounded', 1)
('storm', 'run', 1)
('storm', 'sent', 1)
('storm', 'knocked', 1)
('storm', 'expanding', 1)
('storm', 'trapping', 1)
('storm', 'hit', 1)
('storm', 'warning', 1)
('storm', 'grounded', 1)
('storm', 'delays', 1)
('storm', 'warned', 1)
('storm', 'canceled', 1)
('storm', 'died', 1)
('trapping', 'died', 1)
('trapping', 'killed', 1)
('warning', 'warned', 1)
('grounded', 'canceled', 1)
('grounded', 'suspension', 1)
('grounded', 'suspended', 1)
('grounded', 'grounded', 1)
('grounded', 'canceled', 1)
('storm', 'run', 1)
('storm', 'sent', 1)
('storm', 'canceled', 1)
('storm', 'blew', 1)
('storm', 'suspension', 1)
('storm', 'suspended', 1)
('storm', 'chaos', 1)
('storm', 'toppled', 1)
('storm', 'gusts', 1)
('storm', 'recorded', 1)
('storm', 'jams', 1)
('storm', 'grounded', 1)
('storm', 'run', 1)
('storm', 'sent', 1)
('storm', 'knocked', 1)
('storm', 'expanding', 1)
('storm', 'trapping', 1)
('storm', 'hit', 1)
('storm', 'warning', 1)
('storm', 'grounded', 1)
('storm', 'delays', 1)
('storm', 'warned', 1)
('storm', 'canceled', 1)
('storm', 'died', 1)
('impasse', 'closed', 1)
('impasse', 'attacks', 1)
('protest', 'carrying', 1)
('protest', 'marched', 1)
('protest', 'burned', 1)
('airstrike', 'killed', 1)
('scandal', 'stepped', 1)
('scandal', 'resignation', 1)
('fired', 'torched', 1)
('fired', 'ablaze', 1)
('attack', 'torched', 1)
('attack', 'fired', 1)
('airstrikes', 'incident', 1)
('airstrikes', 'killed', 1)
('airstrikes', 'killed', 1)
('attack', 'killed', 1)
('airstrikes', 'incident', 1)
('airstrikes', 'airstrikes', 1)
('airstrikes', 'killed', 1)
('took', 'hurt', 1)
('accident', 'hurt', 1)
('race', 'accident', 1)
('race', 'hurt', 1)
('race', 'smashed', 1)
('race', 'tossed', 1)
('race', 'foundered', 1)
('race', 'began', 1)
('race', 'rounded', 1)
('race', 'swept', 1)
('race', 'pushed', 1)
('race', 'trouble', 1)
('competing', 'tossed', 1)
('competing', 'foundered', 1)
('competing', 'began', 1)
('competing', 'rounded', 1)
('competing', 'swept', 1)
('competing', 'pushed', 1)
('competing', 'trouble', 1)
('smashed', 'hurt', 1)
('trouble', 'tossed', 1)
('trouble', 'foundered', 1)
('trouble', 'began', 1)
('trouble', 'rounded', 1)
('trouble', 'swept', 1)
('trouble', 'pushed', 1)
('claims', 'demanded', 1)
('claims', 'dubbed', 1)
('claims', 'hit', 1)
('claims', 'demanding', 1)
('investigation', 'released', 1)
('investigation', 'come', 1)
('investigation', 'died', 1)
('investigation', 'arrested', 1)
('investigation', 'caring', 1)
('fire', 'killed', 1)
('fire', 'claimed', 1)
('caring', 'died', 1)
('blaze', 'killed', 1)
('trial', 'sentenced', 1)
('trial', 'represented', 1)
('felonies', 'kidnapping', 1)
('felonies', 'robbery', 1)
('trial', 'sentenced', 1)
('trial', 'represented', 1)
('sped', 'hitting', 1)
('processing', 'took', 1)
('altercation', 'shot', 1)
('altercation', 'gunshots', 1)
('incident', 'shot', 1)
('incident', 'abduction', 1)
('incident', 'shot', 1)
('incident', 'snatched', 1)
('incident', 'died', 1)
('incident', 'took', 1)
('incident', 'slaying', 1)
('incident', 'death', 1)
('incident', 'altercation', 1)
('statement', 'shown', 1)
('support', 'shown', 1)
('reacting', 'thanked', 1)
('reacting', 'cheered', 1)
